Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Citrus lumia 1a Poire du Commandeur - Citrus lumia Risso & Poit., cultivar Poire du Commandeur, fam. Rutaceae","Clementine (Italy) 1 - Citrus clementina Hort. ex Tan., (C. deliciosa Ten. var. Clementina)",0.95365626760603,Limonene,0.96,Myrcene,0.02,(E)-beta-Ocimene,0.0,alpha-Pinene,0.0,beta-Caryophyllene,0.0
"Citrus meyeri - Citrus meyeri Y. Tan., fam. Rutaceae","Mandarin (Argentina) 1 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9199623835987412,Limonene,0.82,gamma-Terpinene,0.07,Myrcene,0.02,para-Cymene,0.01,Thymol,0.01
"Clementine (Italy) 1 - Citrus clementina Hort. ex Tan., (C. deliciosa Ten. var. Clementina)","Citrus lumia 1a Poire du Commandeur - Citrus lumia Risso & Poit., cultivar Poire du Commandeur, fam. Rutaceae",0.95365626760603,Limonene,0.95,Myrcene,0.02,Linalool,0.01,Sabinene,0.0,alpha-Pinene,0.0
"Clementine (Italy) 2 - Citrus clementina Hort. ex Tan., (C. deliciosa Ten. var. Clementina)","Citrus lumia 1a Poire du Commandeur - Citrus lumia Risso & Poit., cultivar Poire du Commandeur, fam. Rutaceae",0.9466217454152354,Limonene,0.95,Myrcene,0.02,Linalool,0.01,alpha-Pinene,0.0,Sabinene,0.0
"Clementine (Italy) 3a - Citrus clementina Hort. ex Tan., cultivar Oroval, fam. Rutaceae","Citrus lumia 1a Poire du Commandeur - Citrus lumia Risso & Poit., cultivar Poire du Commandeur, fam. Rutaceae",0.9146254919713488,Limonene,0.94,Myrcene,0.02,Linalool,0.01,Sabinene,0.01,alpha-Pinene,0.0
"Clementine (Italy) 3b - Citrus clementina Hort. ex Tan., cultivar Monreal, fam. Rutaceae","Citrus lumia 1a Poire du Commandeur - Citrus lumia Risso & Poit., cultivar Poire du Commandeur, fam. Rutaceae",0.9356176479417152,Limonene,0.94,Myrcene,0.02,Linalool,0.01,alpha-Pinene,0.0,Octanal,0.0
"Clementine (Italy) 3c - Citrus clementina Hort. ex Tan., cultivar Comune, fam. Rutaceae","Clementine (Italy) 2 - Citrus clementina Hort. ex Tan., (C. deliciosa Ten. var. Clementina)",0.9058133886354258,Limonene,0.92,Myrcene,0.02,Sabinene,0.01,Linalool,0.01,Sinensal (unknown isomer),0.01
"Clementine (Italy) 4 - Citrus clementina Hort. ex Tan., fam. Rutaceae","Citrus lumia 1a Poire du Commandeur - Citrus lumia Risso & Poit., cultivar Poire du Commandeur, fam. Rutaceae",0.9159774148053288,Limonene,0.94,Myrcene,0.02,gamma-Terpinene,0.01,Sabinene,0.01,alpha-Pinene,0.01
"Clementine (Uruguay) 1a - Citrus clementina Hort. ex Tan., cultivar Nules, fam. Rutaceae","Citrus lumia 1a Poire du Commandeur - Citrus lumia Risso & Poit., cultivar Poire du Commandeur, fam. Rutaceae",0.910610769013762,Limonene,0.94,Myrcene,0.02,Sabinene,0.01,alpha-Pinene,0.01,Linalool,0.0
"Clementine (Uruguay) 1b - Citrus clementina Hort. ex Tan., cultivar Comune, fam. Rutaceae","Clementine (Italy) 1 - Citrus clementina Hort. ex Tan., (C. deliciosa Ten. var. Clementina)",0.9228758928255226,Limonene,0.93,Myrcene,0.02,Sabinene,0.01,Linalool,0.01,alpha-Pinene,0.01
