Plant 1,Plant 2,Similarity Score
"Bois-de-Rose (Brazil) 1b - Abina rosaeodora var. amazonica Ducke, fam. Laureaceae","Ho leaf (China) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9137394535889256
"Cinnamomum parthenoxylum (China) 1g - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.9070814444199016
"Ho leaf (China) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Bois-de-Rose (Brazil) 1b - Abina rosaeodora var. amazonica Ducke, fam. Laureaceae",0.9137394535889256
"Ho leaf (China) 3 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (China) 4 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.968144671490918
"Ho leaf (China) 4 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (China) 3 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.968144671490918
"Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9082817509602304
"Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.9022967440283342
"Ho leaf (Vietnam) 1 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9003078403012538
"Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9082817509602304
"Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Vietnam) 1 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9003078403012538
"Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae","Cinnamomum parthenoxylum (China) 1g - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae",0.9070814444199016
"Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae","Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9022967440283342
"Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae","Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.95365432462452
"Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae","Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9257397750790894
"Ho leaf 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9164356833475342
"Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.95365432462452
"Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9164356833475342
"Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9175463455618398
"Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.9257397750790894
"Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.9175463455618398
