Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_1853,BitInterpretations,Concentration
Satureja hortensis,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C')]",0.5715
Origanum glandulosum,1,DOI:10.1016/j.foodchem.2007.05.050,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C'), (9, 'C', 2, 'cccc(c)C')]",0.41
Saturiea hortensis,1,DOI:10.22037/afb.v1i1.7134,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C')]",0.5715
Oliveria decumbens,1,DOI:10.21203/rs.3.rs-3164788/v1,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C'), (9, 'C', 2, 'cccc(c)C')]",0.221
Thymus mongolicus,1,DOI:10.3390/molecules26020307,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C'), (9, 'C', 2, 'cccc(c)C')]",0.512
Thymus quinquecostatus,1,DOI:10.1007/BF02973874,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C')]",0.1123
Origanum vulgare,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C'), (9, 'C', 2, 'cccc(c)C')]",0.2925
Lippia graveolens,1,DOI:10.3390/pathogens12101245,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C')]",0.165
Origanum onites,1,DOI:10.1016/j.foodcont.2009.07.016,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C')]",0.75
Thymus riatarum,1,DOI:10.3390/medicines3030019,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C'), (9, 'C', 2, 'cccc(c)C')]",0.223
Thymus richardii,1,DOI:10.3390/molecules28124803,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C')]",0.131
Corydothymus capitatus,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C')]",0.736
Coridothymus capitatus,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(4, 'C', 2, 'cccc(c)C')]",0.736
