Plant 1,Plant 2,Similarity Score
"Mentha arvensis, Glabrata Ray variety - Mentha arvensis (L.) var. glabrata Ray, fam. Lamiaceae (Labiatae)","Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)",0.9023453158686436
"Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)","Mentha arvensis, Glabrata Ray variety - Mentha arvensis (L.) var. glabrata Ray, fam. Lamiaceae (Labiatae)",0.9023453158686436
"Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)","Minthostachys mollis (Venezuela) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)",0.9090627982680384
"Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)","Pennyroyal 4 - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.9152049143430282
"Minthostachys mollis (Venezuela) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)","Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)",0.9090627982680384
"Minthostachys mollis (Venezuela) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)","Pennyroyal (USA) - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.9482288806315544
"Pennyroyal (USA) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Minthostachys mollis (Venezuela) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)",0.9482288806315544
"Pennyroyal (USA) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal 1 - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.9054162914710904
"Pennyroyal 1 - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal (USA) - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.9054162914710904
"Pennyroyal 4 - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)",0.9152049143430282
