Plant 1,Plant 2,Similarity Score
"Celery seed (China) 1 - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Celery seed (India) 3 - Apium graveolens L., fam. Apiaceae (Umbelliferae)",0.9250331695759256
"Celery seed (India) 3 - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Celery seed (China) 1 - Apium graveolens L., fam. Apiaceae (Umbelliferae)",0.9250331695759256
"Citron (Italy) peel 1a - Citrus medica L., cultivar Diamante, fam. Rutaceae","Citron (Italy) peel 1b - Citrus medica L., cultivar Diamante, fam. Rutaceae",0.954679350466496
"Citron (Italy) peel 1a - Citrus medica L., cultivar Diamante, fam. Rutaceae","Mandarin (Italy) 8 - Citrus deliciosa Tenore (C. reticulata Blanco, cv.mandarin), fam. Rutaceae",0.9010267486037064
"Citron (Italy) peel 1b - Citrus medica L., cultivar Diamante, fam. Rutaceae","Citron (Italy) peel 1a - Citrus medica L., cultivar Diamante, fam. Rutaceae",0.954679350466496
"Citrus pennivesiculata peel, Moi - Citrus pennivesiculata (Luash.) Tan., cultivar Moi, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Vietnam) - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae",0.9263710472147936
"Citrus volkameriana (Colombia) - Citrus volkameriana L., fam. Rutaceae","Yuzu (Japan) 3 - Citrus junos Sieb. ex Tanaka, fam. Rutaceae",0.903411274674018
"Clementine x Lemon (Italy) 1 - Citrus clementina Hort. ex Tan. x Citrus limon (L.) Burm., fam. Rutaceae","Lemon (Italy-Sicily) 15a Femminello siracusano - Citrus limon (L.) Burm. f., cultivar Femminello siracusano, fam. Rutaceae",0.9207752836312316
"Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Argentina) 2 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.979939891440354
"Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (France-Corsica) 1a Lisbon - Citrus limon (L.) Burm. f., cultivar Eureka, fam. Rutaceae",0.9479860673514556
"Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Israel) - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9305107820957118
"Lemon (Argentina) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon (Italy-Sicily)  1 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.9268575575662478
