Plant 1,Plant 2,Similarity Score
"Citronella java (Argentina) 1 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9227809849950752
"Citronella java (Argentina) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (China) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.927885098976158
"Citronella java (Argentina) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (S. America) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9078179088385836
"Citronella java (Argentina) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java 3 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9187604021375672
"Citronella java (China) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Argentina) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.927885098976158
"Citronella java (China) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (S. America) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9096169238351304
"Citronella java (China) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java 3 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9223418342336857
"Citronella java (S. America) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Argentina) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9078179088385836
"Citronella java (S. America) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (China) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9096169238351304
"Citronella java (S. America) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java 3 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.92191415439259
"Citronella java 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Argentina) 1 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9227809849950752
"Citronella java 3 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Argentina) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9187604021375672
"Citronella java 3 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (China) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.9223418342336857
"Citronella java 3 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (S. America) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.92191415439259
