Plant 1,Plant 2,Similarity Score
"Bergamot (China) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.989203224336229
"Bergamot (China) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot 1a peel extract - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9049366851693672
"Bergamot (China) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3a green fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9346342267004328
"Bergamot (China) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.989203224336229
"Bergamot (France, Corsica) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9256298864386194
"Bergamot (Italy) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9209092010688654
"Bergamot (Italy) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 8 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.927274855895899
"Bergamot (Italy) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9060944147089252
"Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9060944147089252
"Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9029358866260582
"Bergamot (Italy, Calabria) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (France, Corsica) - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9256298864386194
"Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9209092010688654
"Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9029358866260582
"Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9272158700494788
"Bergamot (Italy, Calabria) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9603074861546288
"Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9272158700494776
"Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9603074861546288
"Bergamot (Italy, Calabria) 8 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.927274855895899
"Bergamot (Italy, Sicily) 1b Fantastico - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot 1a peel extract - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.903198383786959
"Bergamot (Italy, Sicily) 1c Feminello - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3c yellow fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9050465659190418
"Bergamot (Turkey) 3a green fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9346342267004328
"Bergamot (Turkey) 3c yellow fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1c Feminello - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9050465659190418
"Bergamot 1a peel extract - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.9049366851693672
"Bergamot 1a peel extract - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1b Fantastico - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.903198383786959
